experiment,family,k,horizon,policy,phase,normative_reference,normative_interpretation,metric,mean,ci_low,ci_high,n_episodes,n_recorded_turns,analysis_role
e3_exact_online,prior,2,20,bayes_ucb,middle,exact_e3,matched_prior,strict_non_greedy,0.06666666666666667,0.05541666666666666,0.07874999999999999,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,exact_e3,matched_prior,unseen_arm,0.020416666666666666,0.015416666666666665,0.025416666666666664,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,exact_e3,matched_prior,lower_mean_higher_sd,0.06666666666666667,0.05541666666666666,0.07833333333333334,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,exact_e3,matched_prior,equal_mean_higher_sd,0.02,0.014166666666666666,0.02625,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,exact_e3,matched_prior,unequal_sd_greedy_tie_available,0.02,0.014166666666666666,0.02625,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,exact_e3,matched_prior,posterior_mean_deficit,0.006654434583662525,0.005450366401538277,0.007893813082852605,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,exact_e3,matched_prior,chosen_posterior_sd,0.14440513346448502,0.14053323881298221,0.1481145524818192,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,exact_e3,matched_prior,bayes_ucb_agreement,1.0,1.0,1.0,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,exact_e3,matched_prior,knowledge_gradient_agreement,0.9041666666666666,0.88625,0.92125,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,exact_e3,matched_prior,bayes_ucb_top_set_size,1.0295833333333335,1.0175,1.0429166666666667,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,exact_e3,matched_prior,knowledge_gradient_top_set_size,1.0304166666666665,1.01875,1.0441666666666667,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,exact_e3,matched_prior,exact_loss,0.0027698594914269147,0.0020399668059114893,0.003513978843207996,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,exact_e3,matched_prior,strict_exploration_required,0.04875,0.03833333333333333,0.05958333333333333,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,exact_e3,matched_prior,useful_non_greedy,0.0325,0.025,0.04041666666666666,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,exact_e3,matched_prior,inferior_non_greedy,0.034166666666666665,0.02708333333333333,0.04166666666666666,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,exact_e3,matched_prior,neutral_non_greedy,0.0,0.0,0.0,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,exact_e3,matched_prior,exact_optimal_agreement,0.9495833333333334,0.94,0.95875,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,early,exact_e3,matched_prior,posterior_mean_greedy,0.98625,0.9775,0.99375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,early,exact_e3,matched_prior,strict_non_greedy,0.01375,0.00625,0.0225,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,early,exact_e3,matched_prior,unseen_arm,0.37875,0.36125,0.39625,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,early,exact_e3,matched_prior,lower_mean_higher_sd,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,early,exact_e3,matched_prior,equal_mean_higher_sd,0.0,0.0,0.0,200,800,post_hoc_behavioral
